street,city,neighborhood,address_area,address_neighborhood
הנוטע,תל מונד,שאר העיר,צפון השרון,שאר העיר
המטעים,תל מונד,שאר העיר,צפון השרון,שאר העיר
זוויתן,תל מונד,שאר העיר,,
החבצלת,תל מונד,שאר העיר,,
הידידות,תל מונד,שאר העיר,,
השחף,תל מונד,שאר העיר,,
הנורית,תל מונד,שאר העיר,,
הדקל,תל מונד,שאר העיר,,
ירמוך,תל מונד,שאר העיר,צפון השרון,שאר העיר
הצבר,תל מונד,שאר העיר,צפון השרון,שאר העיר
אבני חן,תל מונד,שאר העיר,צפון השרון,שאר העיר
האחווה,תל מונד,שאר העיר,צפון השרון,שאר העיר
הראשונים,תל מונד,שאר העיר,צפון השרון,שאר העיר
הלשם,תל מונד,שאר העיר,צפון השרון,שאר העיר
החרות,תל מונד,שאר העיר,צפון השרון,שאר העיר
הגלבוע,תל מונד,שאר העיר,,
הארגמן,תל מונד,שאר העיר,צפון השרון,שאר העיר
הפרדס,תל מונד,שאר העיר,,
דליה,תל מונד,שאר העיר,,
ההדס,תל מונד,שאר העיר,,
הטופז,תל מונד,שאר העיר,,
אברהם שלונסקי,תל אביב יפו,נאות אפקה ב',,
ראש פינה,תל אביב יפו,נוה שאנן,,
הפנינים,תל אביב יפו,יפו העתיקה,,
בושם,תל אביב יפו,נוה חן,,
נתן החכם,תל אביב יפו,הצפון הישן - דרום,,
ליסין,תל אביב יפו,הצפון החדש - כיכר המדינה,,
התמר,תל אביב יפו,הצפון החדש - דרום,,
בית חורון,תל אביב יפו,תל ברוך,,
שמעון התרסי,תל אביב יפו,הצפון הישן - צפון,,
שמואל רומנילי,תל אביב יפו,"שיכון דן, נוה דן",,
הערמון,תל אביב יפו,"עג'מי, גבעת העליה",,
היכל התלמוד,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
מיטב,תל אביב יפו,ביצרון ורמת ישראל,,
אליעזר קפלן,תל אביב יפו,"גני שרונה, קרית הממשלה",,
ועידת קטוביץ',תל אביב יפו,הצפון החדש - צפון,,
דבורה הנביאה,תל אביב יפו,"גני צהלה, רמות צהלה",,
הרב קוסובסקי,תל אביב יפו,בבלי,,
רקנאטי,תל אביב יפו,רמת אביב ג',,
שמואל ירחינאי,תל אביב יפו,"צהלון, שיכוני חסכון",,
דה האז,תל אביב יפו,הצפון החדש - צפון,,
יוחנן הורקנוס,תל אביב יפו,הצפון הישן - צפון,,
שבט,תל אביב יפו,"עזרא, הארגזים",,
חיים ואלישע,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
